,muncode,year,oil_prod
0,5579.0,1989,0.0
1,5585.0,1989,3.8842585
2,5591.0,1989,2.5998325
3,5893.0,1989,3.689639
4,81001.0,1989,57.9051505
5,81065.0,1989,11.3115885
6,81736.0,1989,0.647872
7,81794.0,1989,0.0
8,13160.0,1989,1.4638
9,13188.0,1989,0.053886
10,13468.0,1989,0.0601115
11,13780.0,1989,0.1139975
12,15215.0,1989,0.0
13,15572.0,1989,2.566528
14,15667.0,1989,0.0
15,15820.0,1989,0.0
16,18610.0,1989,0.0
17,85010.0,1989,0.0
18,85125.0,1989,0.0
19,85139.0,1989,0.855058
20,85162.0,1989,0.0
21,85225.0,1989,0.261994
22,85230.0,1989,0.0
23,85250.0,1989,1.166802
24,85263.0,1989,0.0
25,85325.0,1989,1.301675
26,85410.0,1989,0.0
27,85430.0,1989,1.382722
28,85440.0,1989,0.0
29,85001.0,1989,0.972511
30,19533.0,1989,0.0
31,20011.0,1989,0.00447
32,20614.0,1989,0.248514
33,20710.0,1989,0.0
34,20770.0,1989,0.154416
35,25320.0,1989,0.0
36,25572.0,1989,0.0
37,25580.0,1989,0.0
38,25885.0,1989,0.0
39,41016.0,1989,4.702206
40,41078.0,1989,0.518793
41,41298.0,1989,0.0
42,41306.0,1989,0.0
43,41001.0,1989,10.5404395
44,41518.0,1989,0.06345
45,41524.0,1989,4.6305705
46,41799.0,1989,0.0
47,41797.0,1989,0.0
48,41872.0,1989,0.102011
49,41885.0,1989,0.0
50,47058.0,1989,0.026793
51,47545.0,1989,0.0
52,47707.0,1989,0.0
53,50006.0,1989,2.456607
54,50110.0,1989,0.0
55,50124.0,1989,0.0
56,50150.0,1989,2.286371
57,50318.0,1989,0.0
58,50568.0,1989,0.0
59,50577.0,1989,0.0
60,50573.0,1989,0.0
61,50680.0,1989,0.0
62,50689.0,1989,0.0
63,50001.0,1989,5.659664
64,50711.0,1989,0.0
65,52356.0,1989,0.122365
66,54128.0,1989,0.006654
67,54001.0,1989,0.475711
68,54720.0,1989,0.0
69,54810.0,1989,2.014351
70,86001.0,1989,0.0
71,86320.0,1989,3.670089
72,86568.0,1989,0.228605
73,86569.0,1989,0.0
74,86571.0,1989,0.0
75,86757.0,1989,0.887237
76,86865.0,1989,0.901387
77,86885.0,1989,0.0
78,68081.0,1989,5.422862
79,68101.0,1989,0.0
80,68190.0,1989,0.0
81,68235.0,1989,0.034685
82,68575.0,1989,1.29348
83,68615.0,1989,0.23568
84,68655.0,1989,7.054879
85,68689.0,1989,2.41297
86,68745.0,1989,0.009625
87,70418.0,1989,0.0
88,70508.0,1989,0.0
89,70717.0,1989,0.0
90,73026.0,1989,0.0
91,73168.0,1989,0.0
92,73200.0,1989,0.0
93,73268.0,1989,0.0
94,73275.0,1989,0.0
95,73319.0,1989,0.0
96,73352.0,1989,0.0
97,73449.0,1989,0.0
98,73504.0,1989,1.108697
99,73547.0,1989,0.0
100,73563.0,1989,0.0
101,73585.0,1989,0.0
102,73678.0,1989,0.0
103,73861.0,1989,0.0
104,99624.0,1989,0.0
105,5579.0,1990,0.0
106,5585.0,1990,4.327162
107,5591.0,1990,2.521697
108,5893.0,1990,4.469588
109,81001.0,1990,64.5699335
110,81065.0,1990,11.3327195
111,81736.0,1990,0.526565
112,81794.0,1990,0.0
113,13160.0,1990,1.4569205
114,13188.0,1990,0.048428
115,13468.0,1990,0.063089
116,13780.0,1990,0.111517
117,15215.0,1990,0.0
118,15572.0,1990,2.557473
119,15667.0,1990,0.0
120,15820.0,1990,0.0
121,18610.0,1990,0.0
122,85010.0,1990,0.361589
123,85125.0,1990,0.0
124,85139.0,1990,2.370625
125,85162.0,1990,0.0
126,85225.0,1990,0.500898
127,85230.0,1990,0.0
128,85250.0,1990,1.907111
129,85263.0,1990,0.0
130,85325.0,1990,0.867072
131,85410.0,1990,0.0
132,85430.0,1990,2.256326
133,85440.0,1990,0.0
134,85001.0,1990,2.664709
135,19533.0,1990,0.0
136,20011.0,1990,0.0043515
137,20614.0,1990,0.2003595
138,20710.0,1990,0.0
139,20770.0,1990,0.147463
140,25320.0,1990,0.0
141,25572.0,1990,0.0
142,25580.0,1990,0.0
143,25885.0,1990,0.0
144,41016.0,1990,4.1578545
145,41078.0,1990,0.481907
146,41298.0,1990,0.0
147,41306.0,1990,0.0
148,41001.0,1990,10.3840835
149,41518.0,1990,0.035085
150,41524.0,1990,4.910503
151,41799.0,1990,0.0
152,41797.0,1990,0.0
153,41872.0,1990,0.064251
154,41885.0,1990,0.0
155,47058.0,1990,0.115127
156,47545.0,1990,0.0
157,47707.0,1990,0.0
158,50006.0,1990,2.85265
159,50110.0,1990,0.0
160,50124.0,1990,0.0
161,50150.0,1990,2.447054
162,50318.0,1990,0.0
163,50568.0,1990,0.0
164,50577.0,1990,0.0
165,50573.0,1990,0.0
166,50680.0,1990,0.0
167,50689.0,1990,0.0
168,50001.0,1990,7.522522
169,50711.0,1990,0.0
170,52356.0,1990,0.123837
171,54128.0,1990,0.004132
172,54001.0,1990,0.393711
173,54720.0,1990,0.0
174,54810.0,1990,1.878622
175,86001.0,1990,0.006663
176,86320.0,1990,3.31425
177,86568.0,1990,0.158031
178,86569.0,1990,0.03934
179,86571.0,1990,0.01388
180,86757.0,1990,0.639794
181,86865.0,1990,0.66138
182,86885.0,1990,0.0
183,68081.0,1990,5.343155
184,68101.0,1990,0.0
185,68190.0,1990,0.0
186,68235.0,1990,0.033471
187,68575.0,1990,1.2828355
188,68615.0,1990,0.247147
189,68655.0,1990,6.747966
190,68689.0,1990,2.04284
