,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,otro_hecho_simult_neo,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,violencia_basada_en_g_nero
906,289254,,1991,2,19,68679,SAN GIL,SANTANDER,PROVINCIA DE GUANENTA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.1368814979, 6.5556094669]}",
907,289255,,1991,2,20,25320,GUADUAS,CUNDINAMARCA,NOROCCIDENTE DE CUNDINAMARCA,ASALTO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,4,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.6029562704, 5.0718705327]}",
908,289256,,1991,2,20,5138,CAÑASGORDAS,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,REUNIÓN PÚBLICA,GUERRILLA,FARC,0,0,0,0,0,0,0,0,4,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.0475108743, 6.846478539]}",
909,289257,,1991,2,20,25320,GUADUAS,CUNDINAMARCA,NOROCCIDENTE DE CUNDINAMARCA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,4,ND,"{'type': 'Point', 'coordinates': [-74.6029562704, 5.0718705327]}",
910,289258,CR020199,1991,2,22,50711,VISTAHERMOSA,META,ARIARI GUAYABERO,FALSO POSITIVO,AGENTE DEL ESTADO - GRUPO PARAMILITAR,NO APLICA,0,0,0,0,0,0,0,0,1,,7,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.7511667597, 3.1257520996]}",
911,289259,,1991,2,22,50711,VISTAHERMOSA,META,ARIARI GUAYABERO,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.6746937486, 2.9757503786]}",
912,289260,,1991,2,22,73563,PRADO,TOLIMA,SUR DEL TOLIMA,DESCONOCIDA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,7,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.9274555686, 3.7510132345]}",
913,289261,,1991,2,24,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,7,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
914,289262,,1991,2,24,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,1,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
915,289263,,1991,2,26,15135,CAMPOHERMOSO,BOYACA,ORIENTE DE BOYACA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,1,0,0,0,0,0,0,9,,9,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.0508775131, 5.0038900481]}",
916,289264,,1991,2,25,15299,GARAGOA,BOYACA,ALTIPLANO CUNDIBOYACENSE,RUTA,GRUPO PARAMILITAR,NO IDENTIFICADO,0,1,0,0,0,0,0,0,5,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.3644275636, 5.0832434627]}",
917,289265,,1991,2,26,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,12,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
918,289266,,1991,3,7,50711,VISTAHERMOSA,META,ARIARI GUAYABERO,ASALTO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.7511667597, 3.1257520996]}",
919,289267,,1991,3,11,15047,AQUITANIA,BOYACA,ORIENTE DE BOYACA,FALSO POSITIVO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-72.8839848091, 5.518603543]}",
920,289268,CR2017289268,1991,3,11,68081,BARRANCABERMEJA,SANTANDER,MAGDALENA MEDIO,FALSO POSITIVO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0,0,0,0,0,0,0,0,4,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.8499569753, 7.064963864]}",
921,289269,,1991,3,12,15047,AQUITANIA,BOYACA,ORIENTE DE BOYACA,DESCONOCIDA,AGENTE DEL ESTADO,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ND,"{'type': 'Point', 'coordinates': [-72.8839848091, 5.518603543]}",
922,289270,,1991,3,16,25258,EL PEÑON,CUNDINAMARCA,NOROCCIDENTE DE CUNDINAMARCA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,PRESENCIA GAO SIN ATRIBUCIÓN,0,0,0,0,0,0,0,0,0,,8,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.3325642676, 5.3010545192]}",
923,289271,,1991,4,2,81065,ARAUQUITA,ARAUCA,SARARE,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-71.5723924785, 6.8851862951]}",
924,289272,CR020205,1991,4,7,19100,BOLIVAR,CAUCA,PATIA,RETENCIÓN/EJECUCIÓN,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,17,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.9663120354, 1.8374164035]}",
925,289275,,1991,4,11,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
926,289276,,1991,4,12,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,RETENCIÓN/EJECUCIÓN,OTRO ¿CUÁL?,NO APLICA,0,0,0,0,0,0,0,0,0,,4,ND,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
927,289277,,1991,4,12,25754,SOACHA,CUNDINAMARCA,AREA METROPOLITANA DE BOGOTA,RETENCIÓN/EJECUCIÓN,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,7,,7,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.2145275305, 4.5854916582]}",
928,289278,,1991,4,18,5088,BELLO,ANTIOQUIA,VALLE DE ABURRA,ASALTO,OTRO ¿CUÁL?,NO APLICA,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.554665073, 6.3340688364]}",
929,289279,,1991,4,19,85430,TRINIDAD,CASANARE,LLANOS ORIENTALES,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,7,,7,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-71.6633409045, 5.4122147162]}",
930,289280,,1991,6,18,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
931,289281,CR017079,1991,4,23,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,RETENCIÓN/EJECUCIÓN,OTRO ¿CUÁL?,NO APLICA,0,0,0,0,0,0,0,0,1,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
932,289282,,1991,4,25,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
933,289284,,1991,4,26,20710,SAN ALBERTO,CESAR,MAGDALENA MEDIO,ASALTO,GRUPO PARAMILITAR,AUTODEFENSAS CAMPESINAS DEL SUR DEL CESAR,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.394225336, 7.76082642]}",
934,289285,,1991,5,10,5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,ATAQUE INDISCRIMINADO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.581713332, 6.246715564]}",
935,289286,,1991,5,11,50400,LEJANIAS,META,ARIARI GUAYABERO,ATAQUE INDISCRIMINADO,GUERRILLA,FARC,0,0,0,0,0,0,4,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.9099702059, 3.4756559101]}",
936,289288,,1991,5,11,5150,CAROLINA,ANTIOQUIA,NORTE DE ANTIOQUIA,ASALTO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.2831701138, 6.7259771459]}",
937,289289,,1991,5,11,5150,CAROLINA,ANTIOQUIA,NORTE DE ANTIOQUIA,ASALTO,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.2831701138, 6.7259771459]}",
938,289290,CR020207,1991,5,15,19455,MIRANDA,CAUCA,NORTE DEL CAUCA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.2288698651, 3.2530954052]}",
939,289291,,1991,5,17,5212,COPACABANA,ANTIOQUIA,VALLE DE ABURRA,ASALTO,DESCONOCIDO,NO APLICA,0,1,0,0,1,0,0,0,0,,6,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.5093439031, 6.3486405452]}",
940,289292,,1991,5,21,5376,LA CEJA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDA,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,,6,ND,"{'type': 'Point', 'coordinates': [-75.4294308862, 6.0280557441]}",
941,289294,,1991,5,23,5088,BELLO,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GUERRILLA,ELN,0,0,0,0,0,0,1,0,0,,9,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.554665073, 6.3340688364]}",
942,289295,CR115045,1991,5,23,5088,BELLO,ANTIOQUIA,VALLE DE ABURRA,ASALTO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0,0,0,0,0,0,0,0,0,,9,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-75.554665073, 6.3340688364]}",
