,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,victims_tax,guerrattack_tax,parattack_tax,posdattack_tax,clash_tax,govattack_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
75,CR005173,2012,2,10,"{'type': 'Point', 'coordinates': [-76.26131419, 3.173815457]}",19212,CORINTO,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.26131419, 3.173815457]}",3.173815457,-76.26131419,2012-2-10,75,AT
76,CR005174,2002,7,28,"{'type': 'Point', 'coordinates': [-74.76734058, 2.119786131]}",18753,SAN VICENTE DEL CAGUAN,CAQUETA,CAGUAN,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.76734058, 2.119786131]}",2.119786131,-74.76734058,2002-7-28,76,AT
77,CR005176,2006,3,6,"{'type': 'Point', 'coordinates': [-74.76734058, 2.119786131]}",18753,SAN VICENTE DEL CAGUAN,CAQUETA,CAGUAN,GUERRILLA,FARC,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.76734058, 2.119786131]}",2.119786131,-74.76734058,2006-3-6,77,AT
78,CR005177,1998,2,6,"{'type': 'Point', 'coordinates': [-74.52316032, 4.439355814]}",25878,VIOTA,CUNDINAMARCA,SUROCCIDENTE DE CUNDINAMARCA,GUERRILLA,NO IDENTIFICADA,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.52316032, 4.439355814]}",4.439355814,-74.52316032,1998-2-6,78,AT
79,CR005178,2002,10,11,"{'type': 'Point', 'coordinates': [-74.35076611, 4.519763473]}",25312,GRANADA,CUNDINAMARCA,SUMAPAZ,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.35076611, 4.519763473]}",4.519763473,-74.35076611,2002-10-11,79,AT
80,CR005179,2002,1,25,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2002-1-25,80,AT
81,CR005180,2002,3,11,"{'type': 'Point', 'coordinates': [-73.37374343, 3.269732439]}",50577,PUERTO LLERAS,META,ARIARI GUAYABERO,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.37374343, 3.269732439]}",3.269732439,-73.37374343,2002-3-11,81,AT
82,CR007134,2002,8,10,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",81794,TAME,ARAUCA,SARARE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",6.449379486,-71.75861086,2002-8-10,82,AT
83,CR008089,2012,5,1,"{'type': 'Point', 'coordinates': [-77.24945028, 2.256754909]}",19050,ARGELIA,CAUCA,PATIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.24945028, 2.256754909]}",2.256754909,-77.24945028,2012-5-1,83,AT
84,CR010018,2006,4,6,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2006-4-6,84,AT
85,CR010020,2006,10,19,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2006-10-19,85,AT
86,CR011002,2012,2,2,"{'type': 'Point', 'coordinates': [-76.45787266, 3.177577927]}",19845,VILLA RICA,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.45787266, 3.177577927]}",3.177577927,-76.45787266,2012-2-2,86,AT
87,CR011112,2007,3,1,"{'type': 'Point', 'coordinates': [-75.27772259, 2.935604415]}",41001,NEIVA,HUILA,NORTE DEL HUILA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.27772259, 2.935604415]}",2.935604415,-75.27772259,2007-3-1,87,AT
88,CR012043,2012,5,24,"{'type': 'Point', 'coordinates': [-77.46956757, 1.28613693]}",52683,SANDONA,NARIÑO,CENTRO DE NARIÑO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.46956757, 1.28613693]}",1.28613693,-77.46956757,2012-5-24,88,AT
89,CR013026,2012,4,28,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",52678,SAMANIEGO,NARIÑO,OCCIDENTE DE NARIÑO,GUERRILLA,NO IDENTIFICADA,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",1.335351879,-77.59445713,2012-4-28,89,AT
90,CR016067,2014,8,24,"{'type': 'Point', 'coordinates': [-73.14473008, 10.24429187]}",20750,SAN DIEGO,CESAR,SERRANIA DEL PERIJA,GUERRILLA,NO IDENTIFICADA,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.14473008, 10.24429187]}",10.24429187,-73.14473008,2014-8-24,90,AT
91,CR017054,2012,1,22,"{'type': 'Point', 'coordinates': [-73.09484592, 8.576771365]}",54250,EL TARRA,NORTE DE SANTANDER,CATATUMBO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.09484592, 8.576771365]}",8.576771365,-73.09484592,2012-1-22,91,AT
92,CR017103,2010,5,2,"{'type': 'Point', 'coordinates': [-77.88803347, 2.572918366]}",19318,GUAPI,CAUCA,ANDEN PACIFICO SUR,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.88803347, 2.572918366]}",2.572918366,-77.88803347,2010-5-2,92,AT
93,CR018154,2002,3,30,"{'type': 'Point', 'coordinates': [-67.486997, 6.186864187]}",99001,PUERTO CARRENO,VICHADA,ALTILLANURA,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-67.486997, 6.186864187]}",6.186864187,-67.486997,2002-3-30,93,AT
94,CR018222,2010,6,11,"{'type': 'Point', 'coordinates': [-76.62596065, 7.883417406]}",5045,APARTADO,ANTIOQUIA,URABA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.62596065, 7.883417406]}",7.883417406,-76.62596065,2010-6-11,94,AT
95,CR018223,2008,8,14,"{'type': 'Point', 'coordinates': [-75.76467317, 7.17162903]}",5361,ITUANGO,ANTIOQUIA,NORTE DE ANTIOQUIA,GUERRILLA,FARC,7.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.76467317, 7.17162903]}",7.17162903,-75.76467317,2008-8-14,95,AT
96,CR018225,2008,12,14,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",5667,SAN RAFAEL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",6.293754876,-75.02798382,2008-12-14,96,AT
97,CR018227,2003,10,26,"{'type': 'Point', 'coordinates': [-75.41883314, 6.963872352]}",5887,YARUMAL,ANTIOQUIA,NORTE DE ANTIOQUIA,DESCONOCIDO,NO APLICA,5.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.41883314, 6.963872352]}",6.963872352,-75.41883314,2003-10-26,97,AT
98,CR018229,1995,7,9,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1995-7-9,98,AT
99,CR018236,1998,4,29,"{'type': 'Point', 'coordinates': [-72.91148891, 11.52875138]}",44001,RIOHACHA,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,DESCONOCIDO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.91148891, 11.52875138]}",11.52875138,-72.91148891,1998-4-29,99,AT
100,CR018301,2003,12,23,"{'type': 'Point', 'coordinates': [-75.47096996, 7.570867761]}",5790,TARAZA,ANTIOQUIA,BAJO CAUCA ANTIOQUEÑO,GRUPO ARMADO NO DIRIMIDO,NO APLICA,4.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.47096996, 7.570867761]}",7.570867761,-75.47096996,2003-12-23,100,AT
101,CR018304,2009,3,28,"{'type': 'Point', 'coordinates': [-76.62596065, 7.883417406]}",5045,APARTADO,ANTIOQUIA,URABA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.62596065, 7.883417406]}",7.883417406,-76.62596065,2009-3-28,101,AT
102,CR018420,2002,9,13,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",81736,SARAVENA,ARAUCA,SARARE,GUERRILLA,FARC,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",6.95385957,-71.87233343,2002-9-13,102,AT
103,CR018445,2011,3,18,"{'type': 'Point', 'coordinates': [-73.20605269, 8.40015189]}",54670,SAN CALIXTO,NORTE DE SANTANDER,CATATUMBO,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.20605269, 8.40015189]}",8.40015189,-73.20605269,2011-3-18,103,AT
104,CR018646,2012,4,21,"{'type': 'Point', 'coordinates': [-75.19371478, 4.439608991]}",73001,IBAGUE,TOLIMA,NORTE DEL TOLIMA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.19371478, 4.439608991]}",4.439608991,-75.19371478,2012-4-21,104,AT
105,CR018738,2015,6,26,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",86568,PUERTO ASIS,PUTUMAYO,BAJO PUTUMAYO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.49727285, 0.5050467219]}",0.5050467219,-76.49727285,2015-6-26,105,AT
106,CR018741,2015,7,9,"{'type': 'Point', 'coordinates': [-75.14834842, 7.074707669]}",5040,ANORI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.14834842, 7.074707669]}",7.074707669,-75.14834842,2015-7-9,106,AT
107,CR018743,2015,7,11,"{'type': 'Point', 'coordinates': [-77.66756524, 2.777413702]}",19809,TIMBIQUI,CAUCA,ANDEN PACIFICO SUR,DESCONOCIDO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.66756524, 2.777413702]}",2.777413702,-77.66756524,2015-7-11,107,AT
108,CR018744,2015,7,13,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",76275,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",3.323918106,-76.23450174,2015-7-13,108,AT
109,CR018754,2015,9,13,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",81300,FORTUL,ARAUCA,SARARE,GUERRILLA,NO IDENTIFICADA,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",6.797075753,-71.7685578,2015-9-13,109,AT
110,CR018761,2015,5,27,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",52250,EL CHARCO,NARIÑO,ANDEN PACIFICO SUR,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.109849, 2.477550593]}",2.477550593,-78.109849,2015-5-27,110,AT
111,CR018765,2015,7,11,"{'type': 'Point', 'coordinates': [-76.65027142, 1.152296118]}",86001,MOCOA,PUTUMAYO,MEDIO PUTUMAYO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.65027142, 1.152296118]}",1.152296118,-76.65027142,2015-7-11,111,AT
112,CR018769,2015,7,19,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",1.80711725,-78.76385415,2015-7-19,112,AT
113,CR018871,2000,1,18,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2000-1-18,113,AT
114,CR018872,1998,2,12,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,ELN,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1998-2-12,114,AT
115,CR018971,2000,3,31,"{'type': 'Point', 'coordinates': [-74.4357071, 4.730954629]}",25123,CACHIPAY,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.4357071, 4.730954629]}",4.730954629,-74.4357071,2000-3-31,115,AT
116,CR020249,1992,4,1,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",3.414414305,-76.52156515,1992-4-1,116,AT
117,CR021260,2003,4,24,"{'type': 'Point', 'coordinates': [-75.24282171, 6.219450549]}",5541,PENOL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,DESCONOCIDO,NO APLICA,4.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.24282171, 6.219450549]}",6.219450549,-75.24282171,2003-4-24,117,AT
118,CR021281,2003,5,8,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDO,NO APLICA,3.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",3.414414305,-76.52156515,2003-5-8,118,AT
119,CR023015,1999,7,30,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,ELN,9.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1999-7-30,119,AT
120,CR023019,1997,3,10,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,GUERRILLA,NO IDENTIFICADA,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",8.745132591,-75.87557791,1997-3-10,120,AT
121,CR023021,1996,10,21,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",8.745132591,-75.87557791,1996-10-21,121,AT
122,CR035022,2010,3,24,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,GUERRILLA,FARC,9.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2010-3-24,122,AT
123,CR036067,1997,7,27,"{'type': 'Point', 'coordinates': [-75.14834842, 7.074707669]}",5040,ANORI,ANTIOQUIA,NORDESTE ANTIOQUEÑO,GUERRILLA,NO IDENTIFICADA,20.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.14834842, 7.074707669]}",7.074707669,-75.14834842,1997-7-27,123,AT
124,CR040165,2003,8,8,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",81736,SARAVENA,ARAUCA,SARARE,GUERRILLA,FARC,5.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.87233343, 6.95385957]}",6.95385957,-71.87233343,2003-8-8,124,AT
125,CR041132,2001,10,7,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",5667,SAN RAFAEL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",6.293754876,-75.02798382,2001-10-7,125,AT
126,CR046007,1999,12,17,"{'type': 'Point', 'coordinates': [-76.9059688, 0.4239040926]}",86865,VALLE DEL GUAMUEZ,PUTUMAYO,BAJO PUTUMAYO,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.9059688, 0.4239040926]}",0.4239040926,-76.9059688,1999-12-17,126,AT
127,CR046671,2002,3,28,"{'type': 'Point', 'coordinates': [-72.655172, 1.960108633]}",95015,CALAMAR,GUAVIARE,ARIARI GUAYABERO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,4.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.655172, 1.960108633]}",1.960108633,-72.655172,2002-3-28,127,AT
128,CR047087,2003,7,2,"{'type': 'Point', 'coordinates': [-76.21763745, 1.92946706]}",41359,ISNOS,HUILA,SUR DEL HUILA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.21763745, 1.92946706]}",1.92946706,-76.21763745,2003-7-2,128,AT
129,CR047110,2003,8,10,"{'type': 'Point', 'coordinates': [-73.69561782, 3.701879876]}",50689,SAN MARTIN,META,PIEDEMONTE LLANERO,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.69561782, 3.701879876]}",3.701879876,-73.69561782,2003-8-10,129,AT
130,CR047153,2003,11,1,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",18001,FLORENCIA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",1.61792293,-75.60856043,2003-11-1,130,AT
131,CR047498,2006,8,4,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,DESCONOCIDO,NO APLICA,7.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",3.414414305,-76.52156515,2006-8-4,131,AT
132,CR047869,2015,11,5,"{'type': 'Point', 'coordinates': [-76.7788973, 2.001109223]}",19397,LA VEGA,CAUCA,MACIZO COLOMBIANO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.7788973, 2.001109223]}",2.001109223,-76.7788973,2015-11-5,132,AT
133,CR047946,2012,2,27,"{'type': 'Point', 'coordinates': [-73.09484592, 8.576771365]}",54250,EL TARRA,NORTE DE SANTANDER,CATATUMBO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.09484592, 8.576771365]}",8.576771365,-73.09484592,2012-2-27,133,AT
134,CR048156,1992,9,1,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,DESCONOCIDO,NO APLICA,9.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1992-9-1,134,AT
135,CR048326,2002,11,16,"{'type': 'Point', 'coordinates': [-74.19089412, 11.2294335]}",47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.19089412, 11.2294335]}",11.2294335,-74.19089412,2002-11-16,135,AT
136,CR048444,2014,6,7,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,2014-6-7,136,AT
137,CR048476,2011,12,5,"{'type': 'Point', 'coordinates': [-72.24190502, 11.37832678]}",44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.24190502, 11.37832678]}",11.37832678,-72.24190502,2011-12-5,137,AT
138,CR048988,2003,8,24,"{'type': 'Point', 'coordinates': [-73.20651333, 2.939743676]}",50590,PUERTO RICO,META,ARIARI GUAYABERO,GUERRILLA,FARC,5.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.20651333, 2.939743676]}",2.939743676,-73.20651333,2003-8-24,138,AT
139,CR080122,2014,1,16,"{'type': 'Point', 'coordinates': [-75.67473253, 6.916808512]}",5647,SAN ANDRES DE CUERQUIA,ANTIOQUIA,NORTE DE ANTIOQUIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.67473253, 6.916808512]}",6.916808512,-75.67473253,2014-1-16,139,AT
140,CR102116,1997,2,3,"{'type': 'Point', 'coordinates': [-77.11310959, 7.436631552]}",27615,RIOSUCIO,CHOCO,URABA,GRUPO ARMADO NO DIRIMIDO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.11310959, 7.436631552]}",7.436631552,-77.11310959,1997-2-3,140,AT
141,CR2017185401,2007,1,21,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,GUERRILLA,FARC,6.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2007-1-21,141,AT
142,CR2017189655,1992,11,7,"{'type': 'Point', 'coordinates': [-75.33164423, 6.439226882]}",5079,BARBOSA,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.33164423, 6.439226882]}",6.439226882,-75.33164423,1992-11-7,142,AT
143,CR2017195048,2001,8,9,"{'type': 'Point', 'coordinates': [-72.78683006, 7.916581824]}",54313,GRAMALOTE,NORTE DE SANTANDER,PROVINCIA DE RICAURTE,GUERRILLA,ELN,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.78683006, 7.916581824]}",7.916581824,-72.78683006,2001-8-9,143,AT
144,CR2017200991,2012,6,19,"{'type': 'Point', 'coordinates': [-75.31537288, 2.522447597]}",41020,ALGECIRAS,HUILA,CENTRO DEL HUILA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.31537288, 2.522447597]}",2.522447597,-75.31537288,2012-6-19,144,AT
145,CR2017203550,2012,10,30,"{'type': 'Point', 'coordinates': [-76.98097859, 2.115670227]}",19532,PATIA,CAUCA,PATIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.98097859, 2.115670227]}",2.115670227,-76.98097859,2012-10-30,145,AT
146,CR2017421647,2002,12,2,"{'type': 'Point', 'coordinates': [-73.07167902, 10.51021405]}",44420,LA JAGUA DEL PILAR,LA GUAJIRA,SERRANIA DEL PERIJA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.07167902, 10.51021405]}",10.51021405,-73.07167902,2002-12-2,146,AT
147,CR2017500471,2001,12,24,"{'type': 'Point', 'coordinates': [-73.70571533, 3.546694724]}",50313,GRANADA,META,ARIARI GUAYABERO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.70571533, 3.546694724]}",3.546694724,-73.70571533,2001-12-24,147,AT
148,CR2017511102,2011,10,24,"{'type': 'Point', 'coordinates': [-77.61688638, 1.085193359]}",52838,TUQUERRES,NARIÑO,CENTRO OCCIDENTE DE NARIÑO,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.61688638, 1.085193359]}",1.085193359,-77.61688638,2011-10-24,148,AT
149,CR2017511104,2012,4,11,"{'type': 'Point', 'coordinates': [-77.21589814, 2.040478768]}",19075,BALBOA,CAUCA,PATIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.21589814, 2.040478768]}",2.040478768,-77.21589814,2012-4-11,149,AT
150,CR2017511123,1988,3,29,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GRUPO PARAMILITAR,OTRO,0.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1988-3-29,150,AT
151,CR2017521513,2000,11,19,"{'type': 'Point', 'coordinates': [-75.60600233, 4.01159776]}",73622,RONCESVALLES,TOLIMA,SUR DEL TOLIMA,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.60600233, 4.01159776]}",4.01159776,-75.60600233,2000-11-19,151,AT
152,CR2017521875,2012,9,24,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",52678,SAMANIEGO,NARIÑO,OCCIDENTE DE NARIÑO,DESCONOCIDO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",1.335351879,-77.59445713,2012-9-24,152,AT
153,CR2017649202,2007,6,26,"{'type': 'Point', 'coordinates': [-77.35596327, 3.93032998]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.35596327, 3.93032998]}",3.93032998,-77.35596327,2007-6-26,153,AT
