,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,guerrattack_tax,parattack_tax,clash_tax,govattack_tax,posdattack_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
10,CR000324,2002,8,11,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",2.45137136,-76.81077225,2002-8-11,10,AP
11,CR002001,2000,11,19,"{'type': 'Point', 'coordinates': [-74.53370501, 4.744809893]}",25596,QUIPILE,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.53370501, 4.744809893]}",4.744809893,-74.53370501,2000-11-19,11,AP
12,CR002003,2000,12,6,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2000-12-6,12,AP
13,CR002005,2000,12,19,"{'type': 'Point', 'coordinates': [-75.01335058, 6.594592434]}",5890,YOLOMBO,ANTIOQUIA,NORDESTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.01335058, 6.594592434]}",6.594592434,-75.01335058,2000-12-19,13,AP
14,CR002010,2001,3,9,"{'type': 'Point', 'coordinates': [-77.01392439, 1.669426894]}",52693,SAN PABLO,NARIÑO,NORTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.01392439, 1.669426894]}",1.669426894,-77.01392439,2001-3-9,14,AP
15,CR002011,2001,3,31,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",19022,ALMAGUER,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",1.913360233,-76.85592449,2001-3-31,15,AP
16,CR002013,2001,5,10,"{'type': 'Point', 'coordinates': [-76.97053174, 1.601339314]}",52378,LA CRUZ,NARIÑO,NORTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.97053174, 1.601339314]}",1.601339314,-76.97053174,2001-5-10,16,AP
17,CR002015,2001,6,6,"{'type': 'Point', 'coordinates': [-75.31537288, 2.522447597]}",41020,ALGECIRAS,HUILA,CENTRO DEL HUILA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.31537288, 2.522447597]}",2.522447597,-75.31537288,2001-6-6,17,AP
18,CR002017,2001,7,21,"{'type': 'Point', 'coordinates': [-76.96631204, 1.837416404]}",19100,BOLIVAR,CAUCA,PATIA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.96631204, 1.837416404]}",1.837416404,-76.96631204,2001-7-21,18,AP
19,CR002021,2001,8,17,"{'type': 'Point', 'coordinates': [-75.26874889, 9.380228408]}",70418,LOS PALMITOS,SUCRE,MONTES DE MARIA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,AGENTE DEL ESTADO,INFANTERÍA DE MARINA,GUERRILLA,FARC,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.26874889, 9.380228408]}",9.380228408,-75.26874889,2001-8-17,19,AP
20,CR002028,2001,10,10,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",76275,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",3.323918106,-76.23450174,2001-10-10,20,AP
21,CR002030,2001,10,25,"{'type': 'Point', 'coordinates': [-75.703317, 4.33503789]}",63548,PIJAO,QUINDIO,EJE CAFETERO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.703317, 4.33503789]}",4.33503789,-75.703317,2001-10-25,21,AP
22,CR002033,2001,12,2,"{'type': 'Point', 'coordinates': [-75.70206971, 5.423680913]}",17614,RIOSUCIO,CALDAS,EJE CAFETERO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.70206971, 5.423680913]}",5.423680913,-75.70206971,2001-12-2,22,AP
23,CR002034,2001,12,12,"{'type': 'Point', 'coordinates': [-76.06350272, 2.549182984]}",19355,INZA,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.06350272, 2.549182984]}",2.549182984,-76.06350272,2001-12-12,23,AP
24,CR002036,2002,1,25,"{'type': 'Point', 'coordinates': [-75.17078682, 4.875071014]}",73461,MURILLO,TOLIMA,NORTE DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.17078682, 4.875071014]}",4.875071014,-75.17078682,2002-1-25,24,AP
25,CR002042,2002,4,15,"{'type': 'Point', 'coordinates': [-77.01977704, 1.643874302]}",52203,COLON,NARIÑO,NORTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.01977704, 1.643874302]}",1.643874302,-77.01977704,2002-4-15,25,AP
26,CR002043,2002,5,15,"{'type': 'Point', 'coordinates': [-75.18548101, 6.058306335]}",5197,COCORNA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.18548101, 6.058306335]}",6.058306335,-75.18548101,2002-5-15,26,AP
27,CR002046,2002,7,4,"{'type': 'Point', 'coordinates': [-72.98423197, 7.366579569]}",68780,SURATA,SANTANDER,PROVINCIA DE SOTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.98423197, 7.366579569]}",7.366579569,-72.98423197,2002-7-4,27,AP
28,CR002050,2002,7,29,"{'type': 'Point', 'coordinates': [-78.19039205, 2.398212191]}",52390,LA TOLA,NARIÑO,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-78.19039205, 2.398212191]}",2.398212191,-78.19039205,2002-7-29,28,AP
29,CR002051,2002,8,8,"{'type': 'Point', 'coordinates': [-75.50696203, 1.290427202]}",18460,MILAN,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.50696203, 1.290427202]}",1.290427202,-75.50696203,2002-8-8,29,AP
30,CR002053,2002,10,29,"{'type': 'Point', 'coordinates': [-74.82746263, 9.586907918]}",13212,CORDOBA,BOLIVAR,MONTES DE MARIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.82746263, 9.586907918]}",9.586907918,-74.82746263,2002-10-29,30,AP
31,CR002062,2004,8,6,"{'type': 'Point', 'coordinates': [-73.20605269, 8.40015189]}",54670,SAN CALIXTO,NORTE DE SANTANDER,CATATUMBO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.20605269, 8.40015189]}",8.40015189,-73.20605269,2004-8-6,31,AP
32,CR002079,2003,7,9,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",52678,SAMANIEGO,NARIÑO,OCCIDENTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",1.335351879,-77.59445713,2003-7-9,32,AP
33,CR002083,2002,7,10,"{'type': 'Point', 'coordinates': [-75.99517781, 2.025054002]}",41503,OPORAPA,HUILA,SUR DEL HUILA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.99517781, 2.025054002]}",2.025054002,-75.99517781,2002-7-10,33,AP
34,CR002086,2001,9,28,"{'type': 'Point', 'coordinates': [-75.88853156, 1.805263228]}",41006,ACEVEDO,HUILA,SUR DEL HUILA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.88853156, 1.805263228]}",1.805263228,-75.88853156,2001-9-28,34,AP
35,CR003002,1988,1,19,"{'type': 'Point', 'coordinates': [-77.24769154, 2.846715932]}",19418,LOPEZ DE MICAY,CAUCA,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.24769154, 2.846715932]}",2.846715932,-77.24769154,1988-1-19,35,AP
36,CR003003,1988,1,23,"{'type': 'Point', 'coordinates': [-75.01335058, 6.594592434]}",5890,YOLOMBO,ANTIOQUIA,NORDESTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.01335058, 6.594592434]}",6.594592434,-75.01335058,1988-1-23,36,AP
37,CR003005,1988,3,22,"{'type': 'Point', 'coordinates': [-76.51863329, 2.785615005]}",19137,CALDONO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.51863329, 2.785615005]}",2.785615005,-76.51863329,1988-3-22,37,AP
38,CR003006,1988,3,30,"{'type': 'Point', 'coordinates': [-75.6830171, 2.071843274]}",41298,GARZON,HUILA,SUR DEL HUILA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,7.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.6830171, 2.071843274]}",2.071843274,-75.6830171,1988-3-30,38,AP
39,CR003007,1988,4,20,"{'type': 'Point', 'coordinates': [-70.23475052, 1.251190563]}",97001,MITU,VAUPES,AMAZONIA SUR-ORIENTAL,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,10.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-70.23475052, 1.251190563]}",1.251190563,-70.23475052,1988-4-20,39,AP
40,CR003035,1988,6,11,"{'type': 'Point', 'coordinates': [-75.18444508, 6.142896667]}",5313,GRANADA,ANTIOQUIA,ORIENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,OTRA,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.18444508, 6.142896667]}",6.142896667,-75.18444508,1988-6-11,40,AP
41,CR003036,1988,6,4,"{'type': 'Point', 'coordinates': [-75.62445888, 5.614550725]}",5856,VALPARAISO,ANTIOQUIA,SUROESTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.62445888, 5.614550725]}",5.614550725,-75.62445888,1988-6-4,41,AP
42,CR003037,1988,7,14,"{'type': 'Point', 'coordinates': [-76.76320908, 2.179322405]}",19392,LA SIERRA,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,M19,GUERRILLA,FARC,8.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.76320908, 2.179322405]}",2.179322405,-76.76320908,1988-7-14,42,AP
43,CR003038,1988,8,23,"{'type': 'Point', 'coordinates': [-76.16846678, 7.813896829]}",23807,TIERRALTA,CORDOBA,URABA,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,COORDINADORA NACIONAL GUERRILLERA,,,38.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.16846678, 7.813896829]}",7.813896829,-76.16846678,1988-8-23,43,AP
44,CR003039,1988,8,30,"{'type': 'Point', 'coordinates': [-75.58611594, 2.939755223]}",41676,SANTA MARIA,HUILA,NORTE DEL HUILA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.58611594, 2.939755223]}",2.939755223,-75.58611594,1988-8-30,44,AP
45,CR003040,1988,9,8,"{'type': 'Point', 'coordinates': [-74.11788685, 11.14222657]}",47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,5.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.11788685, 11.14222657]}",11.14222657,-74.11788685,1988-9-8,45,AP
46,CR003042,1988,10,5,"{'type': 'Point', 'coordinates': [-73.92416855, 7.476720671]}",13670,SAN PABLO,BOLIVAR,MAGDALENA MEDIO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.92416855, 7.476720671]}",7.476720671,-73.92416855,1988-10-5,46,AP
47,CR003043,1988,10,5,"{'type': 'Point', 'coordinates': [-73.89933402, 7.349066144]}",68575,PUERTO WILCHES,SANTANDER,MAGDALENA MEDIO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.89933402, 7.349066144]}",7.349066144,-73.89933402,1988-10-5,47,AP
48,CR003045,1988,12,4,"{'type': 'Point', 'coordinates': [-75.3608659, 5.973868218]}",5400,LA UNION,ANTIOQUIA,ORIENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,EPL,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.3608659, 5.973868218]}",5.973868218,-75.3608659,1988-12-4,48,AP
49,CR003046,1988,12,16,"{'type': 'Point', 'coordinates': [-75.67473253, 6.916808512]}",5647,SAN ANDRES DE CUERQUIA,ANTIOQUIA,NORTE DE ANTIOQUIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,EPL,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.67473253, 6.916808512]}",6.916808512,-75.67473253,1988-12-16,49,AP
50,CR003047,1989,2,10,"{'type': 'Point', 'coordinates': [-76.67177213, 1.899975422]}",19693,SAN SEBASTIAN,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,5.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.67177213, 1.899975422]}",1.899975422,-76.67177213,1989-2-10,50,AP
51,CR003048,1989,6,25,"{'type': 'Point', 'coordinates': [-75.3608659, 5.973868218]}",5400,LA UNION,ANTIOQUIA,ORIENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.3608659, 5.973868218]}",5.973868218,-75.3608659,1989-6-25,51,AP
52,CR003050,1989,10,25,"{'type': 'Point', 'coordinates': [-73.04874552, 7.740905158]}",54128,CACHIRA,NORTE DE SANTANDER,PROVINCIA DE RICAURTE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.04874552, 7.740905158]}",7.740905158,-73.04874552,1989-10-25,52,AP
53,CR003052,1990,1,16,"{'type': 'Point', 'coordinates': [-76.4358754, 7.242875057]}",5480,MUTATA,ANTIOQUIA,URABA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GRUPO ARMADO NO DIRIMIDO,NO APLICA,,,4.0,0,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.4358754, 7.242875057]}",7.242875057,-76.4358754,1990-1-16,53,AP
54,CR003053,1990,4,7,"{'type': 'Point', 'coordinates': [-76.87923491, 1.174218321]}",86755,SAN FRANCISCO,PUTUMAYO,ALTO PUTUMAYO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.87923491, 1.174218321]}",1.174218321,-76.87923491,1990-4-7,54,AP
55,CR003054,1990,4,20,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",2.45137136,-76.81077225,1990-4-20,55,AP
56,CR003055,1990,6,5,"{'type': 'Point', 'coordinates': [-75.31269631, 9.545351624]}",70230,CHALAN,SUCRE,MONTES DE MARIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.31269631, 9.545351624]}",9.545351624,-75.31269631,1990-6-5,56,AP
57,CR003056,1990,9,13,"{'type': 'Point', 'coordinates': [-71.76492254, 6.156172443]}",85125,HATO COROZAL,CASANARE,LLANOS ORIENTALES,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-71.76492254, 6.156172443]}",6.156172443,-71.76492254,1990-9-13,57,AP
58,CR003062,1990,12,24,"{'type': 'Point', 'coordinates': [-74.98795256, 6.187991569]}",5649,SAN CARLOS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.98795256, 6.187991569]}",6.187991569,-74.98795256,1990-12-24,58,AP
59,CR003063,1990,12,27,"{'type': 'Point', 'coordinates': [-73.14473008, 10.24429187]}",20750,SAN DIEGO,CESAR,SERRANIA DEL PERIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,8.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.14473008, 10.24429187]}",10.24429187,-73.14473008,1990-12-27,59,AP
60,CR003064,1991,1,21,"{'type': 'Point', 'coordinates': [-73.20605269, 8.40015189]}",54670,SAN CALIXTO,NORTE DE SANTANDER,CATATUMBO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.20605269, 8.40015189]}",8.40015189,-73.20605269,1991-1-21,60,AP
61,CR003065,1991,2,5,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",76275,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",3.323918106,-76.23450174,1991-2-5,61,AP
62,CR003066,1991,2,7,"{'type': 'Point', 'coordinates': [-72.79887452, 7.64297044]}",54051,ARBOLEDAS,NORTE DE SANTANDER,CENTRO DE NORTE DE SANTANDER,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.79887452, 7.64297044]}",7.64297044,-72.79887452,1991-2-7,62,AP
63,CR003067,1991,3,6,"{'type': 'Point', 'coordinates': [-72.62718599, 2.330161549]}",95025,EL RETORNO,GUAVIARE,ARIARI GUAYABERO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.62718599, 2.330161549]}",2.330161549,-72.62718599,1991-3-6,63,AP
64,CR003068,1991,3,17,"{'type': 'Point', 'coordinates': [-76.34642891, 3.407766466]}",76130,CANDELARIA,VALLE DEL CAUCA,SUR DEL VALLE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,7.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.34642891, 3.407766466]}",3.407766466,-76.34642891,1991-3-17,64,AP
65,CR003069,1991,3,20,"{'type': 'Point', 'coordinates': [-73.61679327, 6.33964535]}",68720,SANTA HELENA DEL OPON,SANTANDER,MAGDALENA MEDIO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.61679327, 6.33964535]}",6.33964535,-73.61679327,1991-3-20,65,AP
66,CR003070,1991,3,30,"{'type': 'Point', 'coordinates': [-75.24001859, 6.814263455]}",5315,GUADALUPE,ANTIOQUIA,NORTE DE ANTIOQUIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.24001859, 6.814263455]}",6.814263455,-75.24001859,1991-3-30,66,AP
67,CR003072,1991,4,17,"{'type': 'Point', 'coordinates': [-76.21763745, 1.92946706]}",41359,ISNOS,HUILA,SUR DEL HUILA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.21763745, 1.92946706]}",1.92946706,-76.21763745,1991-4-17,67,AP
68,CR003073,1991,4,27,"{'type': 'Point', 'coordinates': [-72.96879846, 7.280820473]}",68169,CHARTA,SANTANDER,PROVINCIA DE SOTO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.96879846, 7.280820473]}",7.280820473,-72.96879846,1991-4-27,68,AP
69,CR003074,1991,5,16,"{'type': 'Point', 'coordinates': [-73.86814048, 8.276306771]}",13473,MORALES,BOLIVAR,MAGDALENA MEDIO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.86814048, 8.276306771]}",8.276306771,-73.86814048,1991-5-16,69,AP
70,CR003075,1991,5,28,"{'type': 'Point', 'coordinates': [-75.48090671, 3.912976052]}",73675,SAN ANTONIO,TOLIMA,SUR DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.48090671, 3.912976052]}",3.912976052,-75.48090671,1991-5-28,70,AP
71,CR003077,1991,7,5,"{'type': 'Point', 'coordinates': [-73.14573636, 10.77208987]}",44650,SAN JUAN DEL CESAR,LA GUAJIRA,SIERRA NEVADA DE SANTA MARTA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.14573636, 10.77208987]}",10.77208987,-73.14573636,1991-7-5,71,AP
72,CR003078,1991,7,7,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",19022,ALMAGUER,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",1.913360233,-76.85592449,1991-7-7,72,AP
73,CR003079,1991,7,8,"{'type': 'Point', 'coordinates': [-76.17340916, 6.898494111]}",5842,URAMITA,ANTIOQUIA,OCCIDENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.17340916, 6.898494111]}",6.898494111,-76.17340916,1991-7-8,73,AP
74,CR003080,1991,7,10,"{'type': 'Point', 'coordinates': [-74.03901175, 8.937090811]}",13667,SAN MARTIN DE LOBA,BOLIVAR,SUR DE BOLIVAR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,5.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.03901175, 8.937090811]}",8.937090811,-74.03901175,1991-7-10,74,AP
75,CR003081,1991,10,17,"{'type': 'Point', 'coordinates': [-77.24769154, 2.846715932]}",19418,LOPEZ DE MICAY,CAUCA,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.24769154, 2.846715932]}",2.846715932,-77.24769154,1991-10-17,75,AP
76,CR003082,1991,11,13,"{'type': 'Point', 'coordinates': [-74.30545993, 4.309854412]}",25535,PASCA,CUNDINAMARCA,SUMAPAZ,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.30545993, 4.309854412]}",4.309854412,-74.30545993,1991-11-13,76,AP
