,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,guerrattack_tax,parattack_tax,clash_tax,govattack_tax,posdattack_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
348,CR20175860,1992,3,3,"{'type': 'Point', 'coordinates': [-73.38003986, 8.389604097]}",20310,GONZALEZ,CESAR,SUR DE CESAR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GRUPO ARMADO NO DIRIMIDO,NO APLICA,,,0.0,0,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.38003986, 8.389604097]}",8.389604097,-73.38003986,1992-3-3,348,AP
349,,1988,2,6,"{'type': 'Point', 'coordinates': [-75.78549855, 5.789747931]}",5368,JERICO,ANTIOQUIA,SUROESTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,EPL,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.78549855, 5.789747931]}",5.789747931,-75.78549855,1988-2-6,349,AP
350,,1988,2,19,"{'type': 'Point', 'coordinates': [-73.48784863, 3.369528485]}",50287,FUENTEDEORO,META,ARIARI GUAYABERO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.48784863, 3.369528485]}",3.369528485,-73.48784863,1988-2-19,350,AP
351,,1988,3,1,"{'type': 'Point', 'coordinates': [-73.66635487, 8.688650964]}",20550,PELAYA,CESAR,SUR DE CESAR,AGENTE DEL ESTADO,POLICÍA NACIONAL,AGENTE DEL ESTADO,EJÉRCITO NACIONAL,GUERRILLA,ELN,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.66635487, 8.688650964]}",8.688650964,-73.66635487,1988-3-1,351,AP
352,,1988,4,7,"{'type': 'Point', 'coordinates': [-75.76467317, 7.17162903]}",5361,ITUANGO,ANTIOQUIA,NORTE DE ANTIOQUIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.76467317, 7.17162903]}",7.17162903,-75.76467317,1988-4-7,352,AP
353,,1988,4,18,"{'type': 'Point', 'coordinates': [-73.60014444, 9.361189611]}",20178,CHIRIGUANA,CESAR,SERRANIA DEL PERIJA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.60014444, 9.361189611]}",9.361189611,-73.60014444,1988-4-18,353,AP
354,,1988,5,10,"{'type': 'Point', 'coordinates': [-73.38003986, 8.389604097]}",20310,GONZALEZ,CESAR,SUR DE CESAR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,COORDINADORA GUERRILLERA SIMÓN BOLÍVAR,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-73.38003986, 8.389604097]}",8.389604097,-73.38003986,1988-5-10,354,AP
355,,1988,5,28,"{'type': 'Point', 'coordinates': [-74.58197051, 9.872296464]}",47555,PLATO,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.58197051, 9.872296464]}",9.872296464,-74.58197051,1988-5-28,355,AP
356,,1988,7,12,"{'type': 'Point', 'coordinates': [-75.33261381, 6.282155852]}",5674,SAN VICENTE FERRER,ANTIOQUIA,ORIENTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.33261381, 6.282155852]}",6.282155852,-75.33261381,1988-7-12,356,AP
357,,1988,11,8,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",76275,FLORIDA,VALLE DEL CAUCA,SUR DEL VALLE,GUERRILLA,FARC,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.23450174, 3.323918106]}",3.323918106,-76.23450174,1988-11-8,357,AP
