,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
265,AP,265,1998-8-4,1998-8-4,3.239652997,-74.35154535,CR018512,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,,,33.0,0,0,1,0,0,50370,1998
266,AP,266,1998-8-4,1998-8-4,3.624858538,-75.093478,CR018513,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73483,1998
267,AP,267,1998-8-12,1998-8-12,10.56016864,-73.01250679,CR018514,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,44855,1998
268,AP,268,1998-8-16,1998-8-16,2.45137136,-76.81077225,CR018515,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19256,1998
269,AP,269,1998-8-19,1998-8-19,7.138122324,-72.66543492,CR018517,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,3.0,0,0,1,0,0,54174,1998
270,AP,270,1998-9-15,1998-9-15,6.156172443,-71.76492254,CR018519,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,5.0,0,0,1,0,0,85125,1998
271,AP,271,1998-9-24,1998-9-24,9.25827144,-73.81332845,CR018520,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,1.0,0,0,1,0,0,20175,1998
272,AP,272,1998-9-28,1998-9-28,2.256754909,-77.24945028,CR018528,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19050,1998
273,AP,273,1998-10-2,1998-10-2,4.744809893,-74.53370501,CR018529,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,25596,1998
274,AP,274,1998-10-11,1998-10-11,5.75887024,-73.91385377,CR018530,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,68020,1998
275,AP,275,1998-10-14,1998-10-14,1.474978015,-77.08071233,CR018531,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,3.0,0,0,1,0,0,52019,1998
276,AP,276,1998-10-27,1998-10-27,8.321714562,-73.14597535,CR018536,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,17.0,0,0,1,0,0,54344,1998
277,AP,277,1998-11-26,1998-11-26,2.785615005,-76.51863329,CR018538,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19137,1998
278,AP,278,1998-11-30,1998-11-30,6.058306335,-75.18548101,CR018539,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,0.0,0,0,1,0,0,5197,1998
279,AP,279,1998-11-30,1998-11-30,5.964079131,-75.10268697,CR018540,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,12.0,0,0,1,0,0,5652,1998
280,AP,280,1998-12-12,1998-12-12,2.522447597,-75.31537288,CR018541,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,41020,1998
281,AP,281,1998-12-14,1998-12-14,1.669426894,-77.01392439,CR018543,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,52693,1998
282,AP,282,1998-12-26,1998-12-26,9.704606116,-73.27923167,CR018545,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,20045,1998
283,AP,283,1998-12-28,1998-12-28,6.805115616,-76.24705835,CR018546,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,5284,1998
284,AP,284,1999-1-4,1999-1-4,3.034070778,-76.40848704,CR018548,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19142,1999
285,AP,285,1999-1-27,1999-1-27,4.348314659,-74.45234352,CR018550,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,25805,1999
286,AP,286,1999-2-6,1999-2-6,5.030452282,-75.1177291,CR018551,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,0,0,1,0,0,73870,1999
287,AP,287,1999-3-10,1999-3-10,2.641987578,-76.52850592,CR018553,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19548,1999
288,AP,288,1999-3-10,1999-3-10,3.016053901,-76.48537029,CR018555,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19698,1999
289,AP,289,1999-3-19,1999-3-19,3.657308485,-76.68887101,CR018558,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,76233,1999
290,AP,290,1999-4-16,1999-4-16,6.554050428,-72.50183507,CR018562,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,0.0,0,0,1,0,0,15180,1999
291,AP,291,1999-4-17,1999-4-17,2.754558567,-76.62922056,CR018565,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19473,1999
292,AP,292,1999-4-19,1999-4-19,6.303912752,-70.20428555,CR018566,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,81220,1999
293,AP,293,1999-4-20,1999-4-20,8.660556373,-77.36619749,CR018567,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,27006,1999
294,AP,294,1999-5-1,1999-5-1,7.00032194,-76.26297665,CR018571,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,5234,1999
295,AP,295,1999-5-1,1999-5-1,6.316206406,-72.5599847,CR018573,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,1.0,0,0,1,0,0,15403,1999
296,AP,296,1999-5-7,1999-5-7,2.260979699,-76.74035187,CR018574,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19622,1999
297,AP,297,1999-5-8,1999-5-8,3.912976052,-75.48090671,CR018575,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73675,1999
298,AP,298,1999-5-14,1999-5-14,5.727729878,-71.9928596,CR018576,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,85263,1999
299,AP,299,1999-5-29,1999-5-29,7.347884751,-72.9463583,CR018581,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,0.0,0,0,1,0,0,68132,1999
300,AP,300,1999-5-31,1999-5-31,10.4150616,-73.58901062,CR018582,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,0,0,1,0,0,20570,1999
301,AP,301,1999-6-6,1999-6-6,3.386750682,-75.7097785,CR018583,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73616,1999
302,AP,302,1999-6-8,1999-6-8,6.290561328,-73.47442637,CR018586,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,0.0,0,0,1,0,0,68211,1999
303,AP,303,1999-7-9,1999-7-9,2.522447597,-75.31537288,CR018590,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,41020,1999
304,AP,304,2005-12-27,2005-12-27,4.651204152,-76.64440389,CR018926,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC/ELN,,,10.0,0,0,1,0,0,27745,2005
305,AP,305,1997-1-28,1997-1-28,5.4105549598,-76.4152929877,CR020590,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,6.0,0,0,1,0,0,27073,1997
306,AP,306,1997-10-18,1997-10-18,3.539036003,-74.89684475,CR020737,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73236,1997
307,AP,307,1995-1-13,1995-1-13,3.285629458,-75.81865177,CR021001,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,5.0,0,0,1,0,0,73616,1995
308,AP,308,1995-3-6,1995-3-6,7.17162903,-75.76467317,CR021022,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,14.0,0,0,1,0,0,5361,1995
309,AP,309,1995-4-5,1995-4-5,4.339092845,-73.93902036,CR021024,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,25281,1995
310,AP,310,1994-8-8,1994-8-8,1.992494881,-76.04414126,CR021072,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,41660,1994
311,AP,311,1995-1-13,1995-1-13,6.405567003,-75.98281889,CR021102,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,5125,1995
312,AP,312,1995-2-17,1995-2-17,5.829826597,-72.16182524,CR021107,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,85400,1995
313,AP,313,1995-10-19,1995-10-19,5.754242228,-72.79809049,CR021136,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,15464,1995
314,AP,314,1995-11-29,1995-11-29,5.802337805,-72.80552935,CR021142,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,15296,1995
315,AP,315,1996-1-22,1996-1-22,2.641366768,-75.97196451,CR021146,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,FARC,2.0,0,0,1,0,0,19517,1996
316,AP,316,2000-8-29,2000-8-29,7.298339256,-72.49587415,CR021155,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,5.0,0,0,1,0,0,54377,2000
317,AP,317,2003-5-21,2003-5-21,2.611815645,-76.37957042,CR021191,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19743,2003
318,AP,318,2003-7-11,2003-7-11,1.335351879,-77.59445713,CR021198,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,4.0,0,0,1,0,0,52678,2003
319,AP,319,1999-5-24,1999-5-24,3.912976052,-75.48090671,CR021521,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,73675,1999
320,AP,320,2002-1-1,2002-1-1,1.290427202,-75.50696203,CR027034,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,4.0,0,0,1,0,0,18460,2002
321,AP,321,2010-11-10,2010-11-10,2.45137136,-76.81077225,CR037243,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC/ELN,,,0.0,0,0,1,0,0,19256,2010
322,AP,322,1988-8-18,1988-8-18,7.138122324,-72.66543492,CR039044,AGENTE DEL ESTADO,NO IDENTIFICADO,GUERRILLA,ELN,,,0.0,0,0,1,0,0,54174,1988
323,AP,323,1996-4-20,1996-4-20,8.170378684,-76.05969659,CR039102,GUERRILLA,NO IDENTIFICADA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,,,3.0,0,0,1,0,0,23807,1996
324,AP,324,2000-12-10,2000-12-10,3.371048831,-75.11115595,CR040099,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,41872,2000
325,AP,325,1992-8-18,1992-8-18,8.789323934,-75.11714082,CR042211,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2.0,0,0,1,0,0,70124,1992
326,AP,326,2012-11-11,2012-11-11,2.959701537,-76.69344711,CR045013,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19780,2012
