,muncode,_prcmean,year,_tempmean
113,20011,20409.502884615384,2007,2993.695592948718
114,20011,19196.302403846155,2008,2990.5633814102566
115,20011,20006.028044871793,2009,2997.3428685897434
116,20011,27358.246875,2010,2996.564423076923
117,20011,26117.864823717948,2011,2992.801362179487
118,20011,19280.89903846154,2012,3000.523717948718
119,20011,27604.855689102566,2013,3001.4190705128203
120,20011,24983.25253496504,2014,3004.3294871794874
121,20011,28195.932291666668,2015,3005.4699519230767
122,20011,23386.026762820515,2016,3011.437179487179
123,20011,32715.715464743593,2017,3002.1690705128203
124,20011,30730.92171474359,2018,2999.7967948717946
125,20011,,2019,3004.070753205128
126,68013,27242.564606741576,2006,
127,68013,28342.964419475655,2007,2901.852996254682
128,68013,28055.634831460673,2008,2899.8782771535584
129,68013,22934.337078651686,2009,2904.005617977528
130,68013,29155.319288389514,2010,2909.4784644194756
131,68013,27872.554307116105,2011,2904.9784644194756
132,68013,18726.780898876405,2012,2905.295880149813
133,68013,18884.642322097377,2013,2908.2677902621726
134,68013,18017.859039836567,2014,2910.336142322097
135,68013,24754.760299625468,2015,2912.7902621722847
136,68013,24515.708801498127,2016,2905.53277153558
137,68013,29728.757490636704,2017,2911.2743445692886
138,68013,23778.87172284644,2018,2910.2612359550562
139,68013,,2019,2914.107677902622
140,17013,34790.33081257414,2006,
141,17013,33422.12989323843,2007,2915.51453143535
142,17013,37936.95507117437,2008,2912.2789145907477
143,17013,24721.91221826809,2009,2920.129300118624
144,17013,34175.02372479241,2010,2922.97849940688
145,17013,35962.14650059312,2011,2918.19706405694
146,17013,25849.29952550415,2012,2920.8434163701063
147,17013,20290.585409252668,2013,2921.9853202846975
148,17013,17892.59171789065,2014,2924.4220047449585
149,17013,16481.00118623962,2015,2929.046115065243
150,17013,17410.11106168446,2016,2933.601571767497
151,17013,21684.84534400949,2017,2923.5650948991697
152,17013,19943.444246737843,2018,2923.7069988137605
153,17013,,2019,2927.544483985765
154,85010,31216.503390330192,2006,
155,85010,28370.688826650945,2007,2987.1760023584907
156,85010,29796.48801100629,2008,2985.984129323899
157,85010,26940.528842374213,2009,2988.985603380503
158,85010,32443.07478380503,2010,2990.96477004717
159,85010,33144.177083333336,2011,2986.6407232704405
160,85010,28682.381141902515,2012,2984.3912146226417
161,85010,27866.589327830192,2013,2987.7011104559747
162,85010,28135.51377572899,2014,2989.289799528302
163,85010,40318.36168435535,2015,2989.9415782232704
164,85010,33770.03616352201,2016,2994.521472091195
165,85010,29238.401090801886,2017,2990.242678852201
166,85010,28963.392590408806,2018,2988.4774960691825
167,85010,,2019,2993.720666273585
168,20013,17648.528710812538,2006,
169,20013,17770.968010236724,2007,2968.545345489443
170,20013,18194.925103966732,2008,2966.940339091491
171,20013,11774.774232245682,2009,2974.9487364043507
172,20013,23019.044705694178,2010,2972.114123480486
173,20013,22869.65127159309,2011,2967.532189699296
174,20013,16186.51571497121,2012,2974.4555742162506
175,20013,12882.026551503519,2013,2976.586892194498
176,20013,10761.761341825162,2014,2978.9414987204095
177,20013,10449.714931222008,2015,2983.8755598208572
178,20013,11841.549264235444,2016,2978.68993921945
179,20013,14060.575855726167,2017,2975.8222568777987
180,20013,11855.885716570696,2018,2974.322816698657
181,20013,,2019,2979.329414587332
182,41016,16188.026519237685,2006,
183,41016,16002.637720244516,2007,2992.080636461704
184,41016,20569.73822366055,2008,2984.7549442646527
185,41016,12821.577040632867,2009,2994.116055375764
186,41016,18686.992988133763,2010,2989.291172240201
187,41016,20482.637001078747,2011,2984.829108234448
188,41016,11961.008719884934,2012,2993.6691837468534
189,41016,8584.029575692197,2013,2995.850233728874
190,41016,8333.202706678434,2014,2998.2045127651922
191,41016,4063.2125134843577,2015,3005.6361021215394
192,41016,7651.408216468896,2016,3006.7649226896797
193,41016,12950.775979863358,2017,2997.673229054297
194,41016,7935.958468176915,2018,2998.5456670262497
195,41016,,2019,3003.2405609492985
196,18029,26242.27439862543,2006,
197,18029,30618.804639175258,2007,2989.9893470790375
198,18029,29222.07216494845,2008,2989.0092783505156
199,18029,30967.069587628866,2009,2989.727835051546
200,18029,33133.26821305842,2010,2992.029553264605
201,18029,30347.31151202749,2011,2988.627319587629
202,18029,33807.70326460481,2012,2985.0012027491407
203,18029,20170.65,2013,2984.9319587628866
204,18029,20086.72464854733,2014,2985.907044673539
205,18029,20539.97233676976,2015,2987.470962199313
206,18029,22347.602920962196,2016,2991.962886597938
207,18029,20814.18213058419,2017,2989.6670103092783
208,18029,20074.866494845362,2018,2987.757560137457
209,18029,,2019,2987.924054982818
210,68020,23163.57469775475,2006,
211,68020,25222.45941278066,2007,2882.435664939551
212,68020,24847.63946459413,2008,2878.7845423143353
213,68020,21419.08506044905,2009,2885.496977547496
214,68020,24319.045336787563,2010,2887.979706390328
215,68020,29036.783678756477,2011,2884.6135578583767
216,68020,17758.73445595855,2012,2885.6278065630395
217,68020,25505.963730569947,2013,2887.6912780656307
218,68020,23369.383890720677,2014,2888.0371329879104
219,68020,29750.003886010363,2015,2893.153281519862
220,68020,30549.272452504316,2016,2886.325129533679
221,68020,38274.322970639034,2017,2888.243955094991
222,68020,33183.78929188256,2018,2886.58506044905
223,68020,,2019,2890.8082901554403
224,25019,20433.10245901639,2006,
225,25019,19937.024590163932,2007,2896.655737704918
226,25019,21278.17349726776,2008,2894.351092896175
227,25019,18072.898907103827,2009,2900.800546448087
228,25019,22550.03415300546,2010,2901.6284153005467
229,25019,25003.523224043718,2011,2899.6666666666665
230,25019,15801.785519125682,2012,2901.5915300546444
231,25019,20803.687158469944,2013,2902.3920765027324
232,25019,21490.412816691507,2014,2903.29781420765
233,25019,13814.580601092895,2015,2907.605191256831
234,25019,26787.801912568306,2016,2897.275956284153
235,25019,16400.93442622951,2017,2904.7595628415297
236,25019,26534.435792349726,2018,2903.0601092896177
237,25019,,2019,2906.7390710382515
238,52019,16420.078014184397,2006,
239,52019,15925.75709219858,2007,2907.2517730496456
240,52019,19759.363475177306,2008,2904.574468085106
241,52019,12852.611702127659,2009,2910.586879432624
242,52019,16977.379432624115,2010,2909.0425531914893
243,52019,18966.18085106383,2011,2906.7641843971633
244,52019,12971.43085106383,2012,2908.3492907801415
245,52019,10082.17730496454,2013,2908.5585106382982
246,52019,11198.974854932301,2014,2909.673758865248
247,52019,8632.00709219858,2015,2914.517730496454
248,52019,10310.051418439716,2016,2923.753546099291
249,52019,14507.815602836881,2017,2911.368794326241
250,52019,10751.879432624113,2018,2911.6595744680853
251,52019,,2019,2914.1471631205673
252,76020,19304.43181818182,2006,
253,76020,23551.364718614717,2007,2938.3874458874457
254,76020,26468.546536796537,2008,2935.155844155844
255,76020,18112.60714285714,2009,2942.4772727272725
256,76020,25532.58116883117,2010,2943.647186147186
257,76020,29037.25865800866,2011,2941.6298701298706
258,76020,20201.313852813855,2012,2941.9632034632036
259,76020,24662.299783549784,2013,2943.215367965368
260,76020,18802.589138134594,2014,2944.5616883116886
261,76020,17486.030303030304,2015,2948.2218614718618
262,76020,20585.95670995671,2016,2952.5757575757575
263,76020,26259.948051948053,2017,2944.9675324675322
264,76020,23844.726190476187,2018,2944.6980519480517
265,76020,,2019,2948.2359307359307
266,52022,12809.512345679012,2006,
267,52022,12780.711419753088,2007,2842.0740740740744
268,52022,14777.592592592593,2008,2839.33024691358
269,52022,11334.268518518518,2009,2844.652777777778
270,52022,13517.913580246912,2010,2845.91975308642
271,52022,15660.067901234566,2011,2841.865740740741
272,52022,10841.296296296297,2012,2841.1898148148152
273,52022,11735.95987654321,2013,2843.3935185185187
274,52022,11503.784511784512,2014,2842.819444444445
275,52022,9319.033950617284,2015,2846.9953703703704
276,52022,10250.111111111111,2016,2850.956790123457
277,52022,15858.148148148148,2017,2845.4845679012346
278,52022,12059.483024691357,2018,2844.8271604938273
279,52022,,2019,2848.319444444445
280,5021,40361.57236842105,2006,
281,5021,38090.40296052631,2007,2927.3936403508774
282,5021,39569.89528508772,2008,2922.558662280702
283,5021,31941.038925438595,2009,2931.379385964912
284,5021,38291.35471491228,2010,2932.941885964912
285,5021,40822.287280701756,2011,2928.8196271929824
286,5021,33561.97368421053,2012,2932.641995614035
287,5021,16893.748355263157,2013,2933.326754385965
288,5021,14493.717105263158,2014,2935.3125
289,5021,13755.088815789473,2015,2941.1694078947367
290,5021,16842.679824561405,2016,2938.253837719298
291,5021,18790.41447368421,2017,2935.941885964912
292,5021,17262.877192982454,2018,2935.06524122807
293,5021,,2019,2940.204495614035
294,41020,26277.123004354133,2006,
295,41020,22875.065191098212,2007,2890.6529995162073
296,41020,32617.934446057086,2008,2889.7052491533627
297,41020,30316.340106434447,2009,2892.6161103047893
298,41020,36345.997943880015,2010,2895.721698113208
299,41020,42903.17997097242,2011,2893.1197387518146
300,41020,34332.79680696662,2012,2890.306361877116
301,41020,27492.163159167874,2013,2891.3858248669567
302,41020,28085.86515371421,2014,2892.4430333817127
303,41020,22230.26221577165,2015,2894.701136913401
304,41020,34562.435655539426,2016,2892.0327769714563
305,41020,39918.10716013546,2017,2895.8886066763425
306,41020,25043.668722786646,2018,2894.6036526366715
307,41020,,2019,2895.8668359941944
308,19022,18461.724939613527,2006,
309,19022,18380.9190821256,2007,2892.493357487923
310,19022,24326.809178743963,2008,2888.36231884058
311,19022,15861.344806763285,2009,2896.1823671497586
312,19022,21426.84329710145,2010,2895.003623188406
313,19022,27372.608695652172,2011,2891.429649758454
314,19022,15949.733695652176,2012,2893.115338164251
315,19022,14185.53079710145,2013,2894.470410628019
316,19022,15978.95652173913,2014,2894.4251207729467
317,19022,11077.540458937197,2015,2900.6875
318,19022,13884.707125603863,2016,2896.4948671497586
319,19022,22479.232487922705,2017,2896.5637077294687
320,19022,14721.745169082125,2018,2897.056461352657
321,19022,,2019,2901.081823671497
322,15022,22641.85512820513,2006,
323,15022,22456.741025641026,2007,2884.378205128205
324,15022,21894.342307692306,2008,2883.19358974359
325,15022,18328.38205128205,2009,2886.0384615384614
326,15022,22091.158974358972,2010,2891.7358974358976
327,15022,22931.61282051282,2011,2886.224358974359
328,15022,23404.44358974359,2012,2882.5756410256413
329,15022,21875.997435897432,2013,2885.383333333333
330,15022,21738.59020979021,2014,2885.071794871795
331,15022,32618.456410256407,2015,2886.902564102564
332,15022,29594.03076923077,2016,2884.935897435897
333,15022,26442.016666666666,2017,2887.5397435897435
334,15022,26432.347435897438,2018,2883.9217948717946
335,15022,,2019,2886.8615384615387
336,73024,15121.038670091324,2006,
337,73024,12899.59260844749,2007,2962.519834474886
338,73024,18889.254566210046,2008,2957.1894977168954
339,73024,10583.952340182648,2009,2964.355308219178
340,73024,14214.70890410959,2010,2962.130565068493
341,73024,28262.626997716896,2011,2959.9228025114153
342,73024,17955.50142694064,2012,2965.4091038812785
343,73024,18407.605593607306,2013,2965.5776255707765
344,73024,18570.86892901619,2014,2969.5974600456625
345,73024,12103.776683789954,2015,2976.4914383561645
346,73024,19192.017551369863,2016,2971.031392694064
347,73024,26086.53353310502,2017,2967.919948630137
348,73024,18135.98473173516,2018,2966.791238584475
349,73024,,2019,2970.2544235159817
350,41026,18546.353773584906,2006,
351,41026,18099.52790880503,2007,2954.0699685534587
352,41026,19279.337657232703,2008,2953.242924528302
353,41026,20421.370283018867,2009,2955.2861635220124
354,41026,21166.104166666668,2010,2958.607311320755
355,41026,22288.306210691822,2011,2956.5782232704405
356,41026,22426.19261006289,2012,2952.389150943396
357,41026,14569.771226415096,2013,2953.3580974842766
358,41026,16242.729416809605,2014,2953.802672955975
359,41026,11825.044418238993,2015,2956.1434748427673
360,41026,16346.424528301888,2016,2974.9555817610067
361,41026,19447.393474842767,2017,2958.5220125786163
362,41026,14699.063679245284,2018,2957.0043238993712
363,41026,,2019,2958.3443396226417
364,73026,14345.469320066337,2006,
365,73026,18409.530058043118,2007,2978.8573797678273
366,73026,15371.286484245438,2008,2975.2139303482586
367,73026,13510.334577114429,2009,2984.500207296849
368,73026,16533.809908789386,2010,2983.3978026534
369,73026,16019.957296849088,2011,2979.4616500829184
370,73026,10866.669568822554,2012,2984.064883913765
371,73026,13904.307421227197,2013,2986.3986318407956
372,73026,13022.915196743555,2014,2987.9601990049755
373,73026,9057.37914593698,2015,2990.6077943615255
374,73026,12040.718076285239,2016,3004.644278606965
375,73026,13138.299129353234,2017,2995.2771558872305
376,73026,14064.090588723053,2018,2990.233416252073
377,73026,,2019,2995.3144693200666
378,5030,26178.23245614035,2006,
379,5030,29050.074561403508,2007,2934.0833333333335
380,5030,34901.87807017544,2008,2929.235964912281
381,5030,19191.872807017542,2009,2939.5877192982457
382,5030,33536.37456140351,2010,2941.5184210526313
383,5030,27017.77543859649,2011,2935.794736842105
384,5030,17391.059649122806,2012,2939.2877192982455
385,5030,18992.922807017545,2013,2941.8701754385966
386,5030,16346.637320574162,2014,2944.1868421052627
387,5030,15031.684210526315,2015,2949.259649122807
388,5030,16673.174561403506,2016,2955.84649122807
389,5030,20005.0,2017,2943.052631578947
390,5030,20590.71754385965,2018,2942.2385964912282
391,5030,,2019,2947.3394736842106
392,5031,28663.070710612436,2006,
393,5031,33189.70991117345,2007,2947.3205937353905
394,5031,28644.85904628331,2008,2942.54938055166
395,5031,25942.87961664329,2009,2950.9219261337075
396,5031,32418.996026180455,2010,2952.7235857877513
397,5031,33992.34642356241,2011,2948.8264960261804
398,5031,29747.49035764376,2012,2952.626460963067
399,5031,18718.321704067323,2013,2953.3835320243106
400,5031,18017.210187428278,2014,2955.3614422627397
401,5031,20174.655095839178,2015,2961.4485741000467
402,5031,19997.963651238897,2016,2959.286231884058
403,5031,25461.778108929404,2017,2956.3161524076672
404,5031,23141.376636278637,2018,2955.2755376344085
405,5031,,2019,2960.565100514259
406,73030,13983.09965034965,2006,
407,73030,17343.584207459207,2007,3004.249125874126
408,73030,12983.395979020977,2008,3001.864219114219
409,73030,12226.84761072261,2009,3012.3548951048947
410,73030,14472.831585081585,2010,3007.142482517482
411,73030,13581.820512820514,2011,3004.268648018648
412,73030,9527.386655011655,2012,3009.137237762238
413,73030,9992.299533799533,2013,3011.0926573426573
414,73030,9137.674825174825,2014,3014.0888694638693
415,73030,7207.789918414918,2015,3014.8155594405594
416,73030,9866.602564102564,2016,3029.043414918415
417,73030,8341.640734265735,2017,3021.4029720279723
418,73030,10596.175699300698,2018,3015.8863636363635
419,73030,,2019,3018.8307109557113
420,25035,13356.969748858448,2006,
421,25035,15839.430365296803,2007,2971.175228310502
422,25035,17656.053652968036,2008,2970.201484018265
423,25035,14104.126712328767,2009,2976.0736301369866
424,25035,16846.0,2010,2976.0970319634703
425,25035,19545.934360730593,2011,2974.486301369863
426,25035,13448.759703196347,2012,2975.218607305936
427,25035,37822.352739726026,2013,2976.1894977168945
428,25035,40059.893524283936,2014,2977.791095890411
429,25035,26685.254566210046,2015,2979.8184931506853
430,25035,46384.031392694065,2016,2992.8367579908677
431,25035,29210.253995433788,2017,2981.449771689498
432,25035,40712.40753424657,2018,2978.7511415525114
433,25035,,2019,2981.559931506849
434,52036,11538.954268292684,2006,
435,52036,11715.923780487805,2007,2907.270325203252
436,52036,12296.90650406504,2008,2904.094512195122
437,52036,10409.634146341463,2009,2909.5741869918697
438,52036,11664.87906504065,2010,2909.189024390244
439,52036,13463.152439024392,2011,2906.0884146341464
440,52036,9937.80894308943,2012,2907.9014227642274
441,52036,9665.926829268292,2013,2908.7520325203254
442,52036,10348.986696230599,2014,2908.951219512195
443,52036,8337.394308943089,2015,2914.013211382114
444,52036,9387.265243902439,2016,2924.860772357724
445,52036,14333.142276422763,2017,2909.763211382114
446,52036,10892.05081300813,2018,2910.2286585365855
447,52036,,2019,2913.729674796748
448,76036,16795.21899224806,2006,
449,76036,19407.067183462532,2007,2951.954780361757
450,76036,18757.96511627907,2008,2950.4069767441856
451,76036,17002.010981912146,2009,2956.25322997416
452,76036,20999.238372093023,2010,2957.0581395348836
453,76036,22770.302325581393,2011,2956.268733850129
454,76036,16468.254521963823,2012,2955.758397932817
455,76036,17220.253875968992,2013,2956.4270025839796
456,76036,15216.247357293869,2014,2957.944444444445
457,76036,14482.671834625324,2015,2961.421188630491
458,76036,17398.070413436693,2016,2972.5859173126614
459,76036,20523.20219638243,2017,2959.8643410852715
460,76036,18441.59431524548,2018,2958.7719638242893
461,76036,,2019,2961.172480620155
462,5034,27416.342553191487,2006,
463,5034,30995.6219858156,2007,2888.002659574468
464,5034,33739.11666666666,2008,2884.6996453900706
465,5034,21939.280319148937,2009,2893.565957446808
466,5034,34391.81063829787,2010,2895.7833333333333
467,5034,29082.90088652482,2011,2890.8501773049647
468,5034,25801.278368794327,2012,2894.430141843972
469,5034,28790.38705673759,2013,2895.377659574468
470,5034,29063.615667311413,2014,2897.550709219858
471,5034,30314.279609929075,2015,2902.1863475177306
472,5034,25434.50833333333,2016,2887.85975177305
473,5034,33770.83989361702,2017,2897.2000000000003
474,5034,35853.76170212766,2018,2896.01914893617
475,5034,,2019,2900.5808510638294
476,5036,25961.493127147765,2006,
477,5036,28624.691580756014,2007,2914.21735395189
478,5036,33658.31872852233,2008,2908.8865979381444
479,5036,19536.091065292097,2009,2919.599656357388
480,5036,32375.95532646048,2010,2921.7276632302405
481,5036,27594.846219931274,2011,2915.6340206185564
482,5036,18412.863402061856,2012,2918.8788659793813
483,5036,20266.191580756014,2013,2921.8883161512026
484,5036,17674.70196813496,2014,2923.9536082474224
485,5036,16483.233676975946,2015,2928.9321305841927
486,5036,18364.92439862543,2016,2927.418384879725
487,5036,21503.44759450172,2017,2922.944158075601
488,5036,22105.630584192437,2018,2922.0214776632306
489,5036,,2019,2927.028350515464
490,5038,30320.299748110832,2006,
491,5038,33795.645675902604,2007,2899.4116288832915
492,5038,30585.326196473554,2008,2894.6614189756506
493,5038,24301.3755247691,2009,2903.7197732997483
494,5038,33173.86544920235,2010,2905.8576826196477
495,5038,32449.25377833753,2011,2901.7942905121745
496,5038,29132.02036104114,2012,2903.907640638119
497,5038,23226.984886649876,2013,2905.4038623005877
498,5038,20905.457980306845,2014,2907.302057094878
499,5038,23641.52875734677,2015,2912.136020151134
500,5038,23475.69227539883,2016,2908.1001259445843
501,5038,29005.669185558352,2017,2905.846977329975
502,5038,28252.066960537366,2018,2903.693324937028
503,5038,,2019,2909.2709907640638
504,25040,18088.32981220657,2006,
505,25040,18919.43251173709,2007,2910.1349765258215
506,25040,19788.794014084506,2008,2907.8691314553994
507,25040,16550.801643192488,2009,2914.5909624413143
508,25040,20994.92077464789,2010,2914.867370892019
509,25040,23393.82922535211,2011,2912.9043427230044
510,25040,14984.171361502347,2012,2915.0528169014087
511,25040,22894.55223004695,2013,2915.8908450704225
512,25040,24216.115877080665,2014,2916.969483568075
513,25040,14817.416079812208,2015,2921.0269953051643
514,25040,30080.720657276994,2016,2914.93896713615
515,25040,17238.73943661972,2017,2918.356807511737
516,25040,27859.013497652584,2018,2916.786971830986
517,25040,,2019,2920.2353286384973
518,5040,39040.64503205128,2006,
519,5040,42325.03390424679,2007,2954.6282552083335
520,5040,35418.950120192305,2008,2949.9223758012818
521,5040,28973.340194310895,2009,2958.0100661057695
522,5040,35382.34815705128,2010,2960.112830528846
523,5040,38202.48452524038,2011,2956.339493189103
524,5040,34313.322065304485,2012,2959.573167067308
525,5040,22786.752103365387,2013,2960.6632612179487
526,5040,22460.565286276225,2014,2962.0936999198716
527,5040,26066.43354366987,2015,2967.954777644231
528,5040,24178.666766826922,2016,2966.435997596154
529,5040,30321.785506810902,2017,2962.8481570512818
530,5040,29095.79962940705,2018,2961.155899439102
531,5040,,2019,2965.5855368589746
532,17042,31022.159420289856,2006,
533,17042,31538.227602108036,2007,2936.1001317523055
534,17042,36770.561264822136,2008,2933.8096179183135
535,17042,25863.76910408432,2009,2940.746376811594
536,17042,36843.31060606061,2010,2943.1541501976285
537,17042,35869.783596837944,2011,2940.0111989459815
538,17042,25237.646574440052,2012,2940.1106719367585
539,17042,32053.294795783924,2013,2941.5543478260865
540,17042,31015.33489040604,2014,2942.1264822134385
541,17042,32307.948287220028,2015,2945.5533596837945
542,17042,26313.302042160736,2016,2953.7480237154155
543,17042,31848.347826086956,2017,2943.5062582345195
544,17042,32011.823122529644,2018,2942.3850461133065
545,17042,,2019,2944.9855072463765
546,76041,17590.965782122905,2006,
547,76041,22185.548882681567,2007,2936.316108007449
548,76041,26629.973230912477,2008,2932.8601024208565
549,76041,19216.92993482309,2009,2940.775372439479
550,76041,27382.61266294227,2010,2941.3268156424583
551,76041,32189.05237430168,2011,2938.768854748603
552,76041,19007.875,2012,2940.469972067039
553,76041,25816.25302607076,2013,2941.332402234637
554,76041,21729.965210766884,2014,2942.9173649906893
555,76041,22016.543063314708,2015,2946.6748137802606
556,76041,21620.07984171322,2016,2944.75791433892
557,76041,27040.253258845438,2017,2943.395018621974
558,76041,28153.206703910615,2018,2942.9972067039107
559,76041,,2019,2946.6452513966483
560,73043,24790.10315315315,2006,
561,73043,28569.764114114118,2007,2857.8855855855854
562,73043,25539.613963963962,2008,2854.663063063063
563,73043,23244.924474474476,2009,2862.345945945946
564,73043,26427.04189189189,2010,2864.3776276276276
565,73043,26499.6003003003,2011,2860.172372372372
566,73043,21211.945495495496,2012,2861.823873873874
567,73043,26225.76981981982,2013,2864.0478978978977
568,73043,28382.78574938575,2014,2864.747747747748
569,73043,18650.528378378378,2015,2868.7752252252253
570,73043,24286.29024024024,2016,2856.048198198198
571,73043,28408.029729729733,2017,2869.512312312312
572,73043,27863.452552552553,2018,2865.7331831831834
573,73043,,2019,2870.230630630631
574,5044,22136.948333333334,2006,
575,5044,24502.066666666666,2007,2943.1236111111116
576,5044,26940.420833333334,2008,2935.5866666666666
577,5044,19333.951944444445,2009,2948.655277777778
578,5044,27050.654444444444,2010,2950.722222222222
579,5044,26387.407777777775,2011,2942.6694444444443
580,5044,18766.391111111112,2012,2946.8677777777775
581,5044,22778.866944444442,2013,2951.4602777777777
582,5044,21019.972424242424,2014,2953.315
583,5044,20386.06777777778,2015,2958.545555555556
584,5044,22034.38027777778,2016,2967.816388888889
585,5044,26395.641666666666,2017,2952.2619444444445
586,5044,26356.3925,2018,2951.9130555555553
587,5044,,2019,2957.133611111111
588,5045,24190.04986772487,2006,
589,5045,29280.72103174603,2007,2984.8484126984126
590,5045,26593.372883597884,2008,2981.4800264550263
591,5045,23631.545502645502,2009,2988.0809523809526
592,5045,24909.87566137566,2010,2989.3305555555557
593,5045,24254.999074074076,2011,2985.448412698413
594,5045,22955.471825396828,2012,2988.2867724867724
